trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1394,False,"{'a': 0.002, 'e': 0.061667390796186744}",25,0,-45.96237752403871,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
1395,False,"{'a': 0.002, 'e': 0.06154417926719386}",20,0,-119.62832831629504,"{0: 8, 1: 1, 2: 10, 3: 1, 4: 0}",0
1396,False,"{'a': 0.002, 'e': 0.06142121391500013}",20,0,-76.64855704065067,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
1397,False,"{'a': 0.002, 'e': 0.061298494247743925}",25,0,-84.77839168601199,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
1398,False,"{'a': 0.002, 'e': 0.06117601977454647}",25,0,-156.01578570219453,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
1399,False,"{'a': 0.002, 'e': 0.06105379000550965}",25,0,-149.8152582331279,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
1400,False,"{'a': 0.002, 'e': 0.06093180445171429}",30,0,-184.66946737130897,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
1401,False,"{'a': 0.002, 'e': 0.06081006262521795}",20,5,-57.57492013258435,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
1402,False,"{'a': 0.002, 'e': 0.06068856403905322}",20,0,-108.72680421284076,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
1403,False,"{'a': 0.002, 'e': 0.060567308207225536}",25,0,-68.04287332231345,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
1404,False,"{'a': 0.002, 'e': 0.06044629464471146}",25,0,-139.44573604851354,"{0: 10, 1: 6, 2: 8, 3: 0, 4: 1}",0
1405,False,"{'a': 0.002, 'e': 0.06032552286745654}",25,0,-51.8215539342744,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
1406,False,"{'a': 0.002, 'e': 0.06020499239237354}",20,0,-57.421587133536015,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
1407,False,"{'a': 0.002, 'e': 0.06008470273734036}",25,0,-95.30621962401011,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
1408,False,"{'a': 0.002, 'e': 0.05996465342119827}",25,0,-83.59866709667145,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
1409,False,"{'a': 0.002, 'e': 0.059844843963749825}",20,0,-63.70209507142778,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
1410,False,"{'a': 0.002, 'e': 0.05972527388575699}",25,0,-281.81727996019276,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 6}",0
1411,False,"{'a': 0.002, 'e': 0.05960594270893937}",20,0,-116.65194987535435,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
1412,False,"{'a': 0.002, 'e': 0.05948684995597202}",20,0,-144.10303952930963,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
1413,False,"{'a': 0.002, 'e': 0.05936799515048385}",20,0,-44.621175362582264,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
1414,False,"{'a': 0.002, 'e': 0.0592493778170554}",25,0,-256.2629221073963,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 5}",0
1415,False,"{'a': 0.002, 'e': 0.05913099748121725}",25,0,-72.54922800751018,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
1416,False,"{'a': 0.002, 'e': 0.05901285366944784}",25,0,-203.1608899687767,"{0: 12, 1: 3, 2: 4, 3: 4, 4: 2}",0
1417,False,"{'a': 0.002, 'e': 0.05889494590917182}",20,0,-77.06219071310154,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
1418,False,"{'a': 0.002, 'e': 0.058777273728757934}",30,0,-93.45540075210798,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
1419,False,"{'a': 0.002, 'e': 0.05865983665751736}",20,8,-8.620767817111908,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
1420,False,"{'a': 0.002, 'e': 0.0585426342257016}",20,0,-132.23678888338583,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
1421,False,"{'a': 0.002, 'e': 0.05842566596450083}",20,0,-64.50365295006131,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
1422,False,"{'a': 0.002, 'e': 0.05830893140604179}",20,0,-8.152031977984759,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
1423,False,"{'a': 0.002, 'e': 0.05819243008338615}",20,0,-134.78112620226875,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
1424,False,"{'a': 0.002, 'e': 0.0580761615305284}",30,0,-101.73266031269094,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
